SMILES,MW,logP,VDss(L/kg),logVDss
C=CC(=O)N1CCC[C@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,440.507,4.2173,9.75,0.989004616
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,206.285,3.0732,0.15,-0.823908741
CCCCCCCN(CC)CCC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1,384.586,4.164,12,1.079181246
CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,497.5,1.0203,38,1.579783597
c1ccc2c(c1)OC[C@H](C1=NCCN1)O2,204.229,0.8281,3.3,0.51851394
CN(CC(=O)N[O-])C(=O)[C@@H]1CCCC[C@@H]1C(=O)O,257.266,-0.0502,1,0
O=C(/C=C\c1ccccc1)NCCO,191.23,0.8083,0.11,-0.958607315
CO[P@](=O)(c1cc(C)cc(/C=C\C#N)c1)c1c(C(N)=O)[nH]c2ccc(Cl)cc12,413.801,3.6407,0.56,-0.251811973
CO[P@](=O)(c1cc(C)cc(/C=C\C#N)c1)c1c(C(N)=O)[nH]c2ccc(Cl)c(F)c12,431.791,3.7798,0.97,-0.013228266
C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,325.452,3.7688,18.99,1.278524965
O=[P@@]1(NCCCl)OCCCN1CCCl,261.089,1.884,0.62,-0.207608311
CC#CC[C@H](C)[C@H](O)/C=C\[C@@H]1[C@H]2C/C(=C\CCCC(=O)O)C[C@H]2C[C@H]1O,360.494,3.5413,0.37,-0.431798276
C[C@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,281.311,3.0351,0.12,-0.920818754
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@@H](N)[C@H](I)[C@@H](C)O1,653.422,1.444,53.6,1.72916479
CC(C)NC[C@H](O)c1ccc(O)c(O)c1,211.261,1.1292,1.5,0.176091259
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@@H]1c1cccc2nonc12,371.393,2.5822,1.5,0.176091259
CN[C@@]1(c2ccccc2Cl)CCCCC1=O,237.73,2.8978,2.9,0.462397998
C[C@@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,254.285,3.1057,0.13,-0.886056648
O=C(c1ccccc1)c1ccc2n1CC[C@H]2C(=O)O,255.273,2.291,0.11,-0.958607315
CCCCCCCCC/C=C\C=C\C(=O)NCC(=O)N[C@H]1[C@H]([C@@H](O)CO)O[C@H](Nc2[nH]cnc3ncnc2-3)[C@H](O)[C@@H]1O,589.694,0.3704,0.17,-0.769551079
CC[C@@]1(O)C[C@H](O[C@@H]2C[C@@H](N3CCOCC3)[C@H](O)[C@H](C)O2)c2c(O)c3c(c(O)c2[C@H]1O)C(=O)c1cccc(O)c1C3=O,585.606,1.4113,20.9,1.320146286
C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,328.412,2.1354,4.8,0.681241237
CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@@H](N4CC4)[C@H](OS(C)(=O)=O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,601.63,1.3611,2.95,0.469822016
Nc1ccn([C@@H]2CS[C@@H](CO)O2)c(=O)n1,229.261,-0.5941,1.3,0.113943352
N[C@@H](Cc1ccccn1)c1ccccc1,198.269,2.3241,1.62,0.209515015
CS(=O)(=O)c1cc(F)cc2c3c(n(Cc4ccc(Cl)cc4)c12)[C@H](CC(=O)O)CC3,435.904,4.3901,1,0
C=C[C@]1(C)C[C@@H](OC(=O)CS[C@H]2CC[C@H](N)C[C@H]2O)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,507.737,3.8668,1.32,0.120573931
CNCC[C@@H](O)[C@@H]1C[C@H](SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3[C@@H]2C)CN1,399.513,-0.4258,0.22,-0.657577319
CN1CC[C@@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,257.377,3.0804,11.5,1.06069784
NCCCC[C@@H](N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O)C(=O)O,363.414,0.5908,1.98,0.29666519
NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21,254.289,2.4929,0.72,-0.142667504
CC#CCn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,472.553,1.14742,16,1.204119983
CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@@H]2O)N(C)C1,406.545,-0.857,1,0
C[C@@H](Cc1ccccc1)NC(=O)[C@H](N)CCCCN,263.385,1.1901,0.6,-0.22184875
NCCCC[C@@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,405.495,1.2352,0.89,-0.050609993
CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1,338.455,2.8414,1.73,0.238046103
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N[C@H]1O,321.163,3.1013,1.3,0.113943352
CN1C(=O)[C@H](O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,335.19,3.1256,1.6,0.204119983
CSCC[C@@H](N)C(=O)N[C@]1(C(=O)O)CS(=O)(=O)[C@H]2[C@H](C(=O)O)[C@H]21,366.417,-1.866,0.44,-0.356547324
N[C@]1(C(=O)O)CS(=O)(=O)[C@H]2[C@H](C(=O)O)[C@H]21,235.217,-2.1039,0.21,-0.677780705
Cc1nnc(C(C)C)n1C1C[C@H]2CC[C@H](C1)N2CC[C@@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,513.677,5.95092,2.3,0.361727836
COc1ccc(Cl)cc1[C@@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21,359.706,4.5326,10,1
C[C@H](CCc1ccc2c(c1)OCO2)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,372.421,1.8641,7.9,0.897627091
N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@@H](NCC(=O)O)C2CCCCC2)cc1,429.521,0.81087,0.23,-0.638272164
C[C@@H]1O[C@@H](O[C@@H]2[C@H](C)O[C@@H](O[C@H]3C[C@](O)(C(=O)CO)Cc4c(O)c5c(c(O)c43)C(=O)c3ccccc3C5=O)C[C@H]2O)C[C@@H](N)[C@@H]1O,643.642,-0.1263,2.4,0.380211242
CO[C@@H]1C[C@@](C)(O)Cc2cc3c(c(O)c21)C(=O)c1c(O)cc2c(c1C3=O)O[C@@H]1O[C@@]2(C)[C@@H](O)[C@H](N(C)C)[C@@H]1O,541.553,0.8738,9.14,0.960946196
Cc1cc2c(OC[C@H](O)CNC(C)C)cccc2[nH]1,262.353,2.21402,2.17,0.336459734
Cc1cccc(C)c1NC(=O)[C@H]1CCCCN1C,246.354,2.72624,0.95,-0.022276395
CC[C@]1(c2cccc(O)c2)CCCCN(C)C1,233.355,3.1557,3.3,0.51851394
CC(C)NC[C@H](O)c1cc(O)cc(O)c1,211.261,1.1292,6.03,0.780317312
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@@H]21,403.526,4.0647,0.57,-0.244125144
CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,309.453,4.292,4.4,0.643452676
COc1cccc(OC)c1C(=O)N[C@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,380.422,0.9491,0.32,-0.494850022
C=CC[C@@]1([C@H](C)C#CCC)C(=O)NC(=O)N(C)C1=O,262.309,1.3066,1.1,0.041392685
CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1,339.439,1.9247,0.96,-0.017728767
C[N@@+]1(CC2CC2)CC[C@@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,356.442,1.67,2.6,0.414973348
C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H]2CC[C@]3(C)[C@@H](CC[C@H]3O)[C@@H]21,288.431,3.7351,0.8,-0.096910013
COC(=O)[C@H](c1ccccc1)[C@@H]1CCCCN1,233.311,2.0853,2.2,0.342422681
C[C@H]1C[C@H]2[C@@H]3CC[C@@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,374.477,1.8036,1.2,0.079181246
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N[C@H]1C,365.842,2.71412,1.6,0.204119983
COCCc1ccc(OC[C@@H](O)CNC(C)C)cc1,267.369,1.6132,3.1,0.491361694
Cc1cccc(C)c1OC[C@H](C)N,179.263,2.02944,5.9,0.770852012
COCC(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,495.639,5.2709,3.1,0.491361694
Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,416.135,6.4548,7.14,0.853698212
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](c3ccc(N(C)C)cc3)C[C@@]21C,429.604,5.4065,0.45,-0.346787486
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,457.483,0.1866,1.6,0.204119983
CN1CCN2c3ncccc3Cc3ccccc3[C@H]2C1,265.36,2.4789,4.2,0.62324929
C[C@H]1C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]2(C)[C@]1(OC(=O)c1ccco1)C(=O)CCl,521.437,4.8692,2.2,0.342422681
Cc1ncc([N+](=O)[O-])n1C[C@@H](O)CN1CCOCC1,270.289,-0.20718,0.75,-0.124938737
CN1CC[C@@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@@H]3[C@@H]1C5,285.343,1.1981,2.3,0.361727836
COc1c(C)c2c(c(O)c1C/C=C(/C)CCC(=O)O)C(=O)OC2,320.341,2.73322,0.77,-0.113509275
CC(C)(C)NC[C@H](O)COc1cccc2c1C[C@@H](O)[C@H](O)C2,309.406,0.6348,1.9,0.278753601
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@]2(CCN3CC2CC2)[C@H]1O5,341.407,1.5254,7.6,0.880813592
CCN(CC)CCOC(=O)[C@H](Cc1cccc2ccccc12)C[C@@H]1CCCO1,383.532,4.4526,0.98,-0.008773924
CN1CCO[C@H](c2ccccc2)c2ccccc2C1,253.345,3.238,5.6,0.748188027
COc1c(N2C[C@@H](C)C[C@@H](N)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12,371.437,2.2167,1.9,0.278753601
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@@H](N2CCO[C@H](OC)C2)[C@H](O)[C@H](C)O1,643.642,0.3473,49,1.69019608
CCN[C@@H]1C[C@@H](N)[C@H](O[C@H]2OC(CN)=CC[C@@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@@H](NC)[C@H]1O,475.587,-3.2007,0.073,-1.13667714
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)[C@@H]1c1cccc([N+](=O)[O-])c1,479.533,3.6778,1,0
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@H]1c1cccc([N+](=O)[O-])c1,418.446,2.9708,1.1,0.041392685
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)[C@H]1c1ccccc1[N+](=O)[O-],388.42,3.2018,5.5,0.740362689
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@H]1c1cccc([N+](=O)[O-])c1,360.366,2.5657,6.1,0.785329835
O=C1CN(/N=C\c2ccc([N+](=O)[O-])o2)C(=O)N1,238.159,0.0735,0.57,-0.244125144
COc1cc([C@@H]2c3cc4c(cc3[C@H](O[C@@H]3O[C@H]5CO[C@H](C)O[C@H]5[C@H](O)[C@H]3N(C)C)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,615.632,1.9079,0.3,-0.522878745
CCCCC(C)(C)[C@@H](O)/C=C/[C@H]1[C@@H](O)C[C@H](Cl)[C@H]1C/C=C\CCCC(=O)O,400.987,4.9255,0.16,-0.795880017
CN1Cc2c(N)cccc2[C@H](c2ccccc2)C1,238.334,2.8461,6,0.77815125
CC(C)(F)C[C@@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,525.568,4.62928,1.63,0.212187604
CO[C@H]1C[C@@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](O)[C@@H](C)C(=O)[C@@]3(CO3)C[C@H](C)[C@H](O[C@H]3O[C@@H](C)C[C@H](N(C)C)[C@H]3O)[C@H]2C)O[C@@H](C)[C@@H]1O,687.868,1.9085,0.77,-0.113509275
COc1ccsc1CNCC[C@]1(c2ccccn2)CCOC2(CCCC2)C1,386.561,4.6926,0.78,-0.107905397
CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,556.66,1.3223,2.7,0.431363764
COc1ccc(/C=C/c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@H](N)CO,402.447,2.1495,0.44,-0.356547324
Cc1nccn1C[C@H]1CCc2c(c3ccccc3n2C)C1=O,293.37,3.12852,1.8,0.255272505
O=C(O)CCCSCCN1C(=O)CC[C@@H]1/C=C\[C@@H](O)Cc1ccc(F)cc1,395.496,2.8743,0.48,-0.318758763
CC(=O)Nc1ccc(C2=NNC(=O)C[C@@H]2C)cc1,245.282,1.5051,2.38,0.376576957
COc1cccc2c(C(=O)N3CCN(C)[C@@H](C)C3)cn(CC3CCCCC3)c12,383.536,4.0063,1,0
CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@@H](N)[C@H]1NC(C)=O,284.356,0.8069,0.37,-0.431798276
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@H]1O,286.718,2.4479,0.59,-0.229147988
NC(=O)CN1C[C@@H](O)CC1=O,158.157,-1.9351,0.55,-0.259637311
CCN(CC)CC#CCOC(=O)[C@](O)(c1ccccc1)C1CCCCC1,357.494,3.3429,0.85,-0.070581074
C[C@]12C[C@]3(O)O[C@H](O1)[C@@]1(COC(=O)c4ccccc4)[C@@H]3C[C@@]21O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,480.466,-1.3575,0.22,-0.657577319
Nc1cc(OCC2CC2)c(C(=O)N[C@@H]2CN3CCC2CC3)cc1Cl,349.862,2.535,3.9,0.591064607
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@]4(C)[C@@H](OC(C)=O)[C@@H]([N+]5(C)CCCCC5)C[C@H]34)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,572.875,6.1105,0.2,-0.698970004
C[C@@H](/C=C\[C@@H](C)[C@H]1CC[C@H]2/C(=C\C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@@]21C)C(C)(C)O,416.646,5.5606,0.41,-0.387216143
CC(C)(S)[C@H](N)C(=O)O,149.215,0.1067,1.26,0.100370545
CC(C)=CCN1CC[C@]2(C)c3cc(O)ccc3C[C@@H]1[C@H]2C,285.431,3.8826,3.4,0.531478917
CCC[C@H](C)C1(CC)C(=O)NC(=O)NC1=O,226.276,1.185,0.91,-0.040958608
OC[C@@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O,268.273,-1.1798,0.59,-0.229147988
CCC[C@@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)O,340.42,1.4621,0.76,-0.119186408
C[C@@H](Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,364.423,1.0856,0.3,-0.522878745
CCOC(=O)C1(c2ccccc2)CCN(CC[C@@H](O)c2ccccc2)CC1,367.489,3.707,5.7,0.755874856
COc1ccc(-c2nc3cc(C4=NNC(=O)C[C@@H]4C)ccc3[nH]2)cc1,334.379,3.0986,2,0.301029996
CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,248.326,1.9056,1.2,0.079181246
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]4C[C@H](N5CC[N+](C)(C)CC5)[C@H](OC(C)=O)[C@@]4(C)CC[C@H]3[C@@]2(C)C[C@@H]1N1CC[N+](C)(C)CC1,602.905,3.6335,0.35,-0.455931956
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)(C(=O)CO)C[C@@H]3O[C@@H]1C[C@@H](N)[C@H](O[C@@H]2CCCCO2)[C@H](C)O1,627.643,1.5522,43.2,1.635483747
C[C@@H]1CCC[C@@H](C)N1CCC[C@](O)(c1ccccc1)c1ccccn1,338.495,4.3606,1.4,0.146128036
CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C\c2ccccc2)[nH]c1=O,336.395,0.7414,3,0.477121255
CCCN=C1S/C(=C/c2ccc(OC[C@H](O)CO)c(Cl)c2)C(=O)N1c1ccccc1C,460.983,4.26732,2.28,0.357934847
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@@H]21,424.534,2.4404,0.46,-0.337242168
C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](O)(C(=O)CO)[C@]3(C)CC(=O)[C@H]12,358.434,1.7658,0.57,-0.244125144
CCCN[C@H](C)C(=O)Nc1ccccc1C,220.316,2.32162,3.7,0.568201724
COc1cc(N[C@@H](C)CCCN)c2ncccc2c1,259.353,2.7827,4,0.602059991
O[C@@](CCN1CCCC1)(c1ccccc1)C1CCCCC1,287.447,3.9404,0.74,-0.13076828
C[C@H](CN1c2ccccc2Sc2ccccc21)N(C)C,284.428,4.2394,14,1.146128036
CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,341.451,3.2414,2.2,0.342422681
CC(C)NC[C@H](O)COc1cccc2ccccc12,259.349,2.5775,3.1,0.491361694
C[C@@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,238.247,-1.1855,0.59,-0.229147988
CCN(CC)CCC[C@@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,399.966,5.9724,45,1.653212514
C[C@@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,410.47,2.0886,0.13,-0.886056648
C=C[C@H]1CN2CC[C@@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,324.424,3.1732,2.9,0.462397998
C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,324.424,3.1732,1.8,0.255272505
CCN1CCC[C@@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,347.242,2.9217,1.1,0.041392685
CCC(=O)NCC[C@H]1CCc2ccc3c(c21)CCO3,259.349,2.5676,1.05,0.021189299
CC(C)(C)S(=O)(=O)C[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,630.852,3.0962,0.77,-0.113509275
NC(=O)c1ncn([C@@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)n1,244.207,-3.0115,14,1.146128036
C[C@H](NCCc1ccc(O)cc1)[C@@H](O)c1ccc(O)cc1,287.359,2.352,4.4,0.643452676
Nc1nc(/C(=N\O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(/C=C4/CCN(CC(F)(F)F)C4=O)CS[C@H]23)cs1,546.509,0.3632,0.11,-0.958607315
C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@H](N6CCOCC6)C[C@@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,529.786,4.4075,0.21,-0.677780705
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@H]12,527.574,0.4698,0.54,-0.26760624
CCCn1c(=O)c2[nH]c(C34C[C@H]5CC3C[C@@H](C5)C4)nc2n(CCC)c1=O,356.47,2.784,4.3,0.633468456
C/C=C1/NC(=O)[C@H]2CSSCC/C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,540.708,1.4296,1.2,0.079181246
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/[C@@]2(C)O[C@H]2[C@@H]1C,581.747,2.6704,2.83,0.451786436
CN(CCOc1ccc(C[C@@H]2SC(=O)NC2=O)cc1)c1ccccn1,357.435,2.4909,0.2,-0.698970004
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C\[C@@H](O)C[C@@H](O)CC(=O)O,481.546,2.4017,1.7,0.230448921
CN(C(=O)Cc1cccc2sccc12)[C@@H]1CCCC[C@@H]1N1CCCC1,356.535,4.3092,1.1,0.041392685
C[C@@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,302.349,2.3681,2.19,0.340444115
CC(C)(C)NC(=O)[C@@H]1C[C@H]2CCCC[C@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,670.855,3.0924,3.6,0.556302501
N#C[C@H]1C[C@H]2C[C@H]2N1C(=O)[C@@H](N)C12C[C@@H]3C[C@H](CC(O)(C3)C1)C2,315.417,1.15798,1.8,0.255272505
CN1[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,303.358,0.9181,3.1,0.491361694
O=C(O)[C@H]1O[C@H](Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,462.363,-0.1522,0.88,-0.055517328
CC(C)NC[C@H](O)c1ccc(NS(C)(=O)=O)cc1,272.37,1.0895,1.3,0.113943352
CN[C@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O,332.353,-2.9256,0.13,-0.886056648
CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@]1(C)CC[C@@H](NCCCNCCCCN)C[C@@H]1C[C@H]3O)OS(=O)(=O)O,627.977,5.5532,0.23,-0.638272164
O=C(Cn1ccnc1[N+](=O)[O-])NC[C@H](O)C(F)(F)F,282.178,-0.1693,0.69,-0.161150909
CC1(C)[C@H](C(=O)O)N2C(=O)C[C@@H]2S1(=O)=O,233.245,-0.795,0.32,-0.494850022
Cc1cc(N=S(=O)(O)c2ccc(N)cc2)no1,253.283,2.19682,0.3,-0.522878745
Cc1noc(N=S(=O)(O)c2ccc(N)cc2)c1C,267.31,2.50524,0.17,-0.769551079
C[C@@H](C(=O)O)c1ccc(C(=O)c2cccs2)cc1,260.314,3.1672,0.04,-1.397940009
Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@@H]2C)c1,450.93,4.11132,0.69,-0.161150909
CC(C)(C)NC[C@@H](O)COc1ccc(NC(=O)NC2CCCCC2)cc1,363.502,3.2686,3.3,0.51851394
C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C/C=C(\C)C(=O)NC(=CC1=O)C2=O,585.698,2.5376,2,0.301029996
O=C(O)[C@H](O)Cc1ccc(O)c(O)c1,198.174,0.0858,0.38,-0.420216403
O=c1[nH]c(=O)n([C@@H]2CCCO2)cc1F,200.169,-0.0153,0.62,-0.207608311
CCCCCNC(=N)N/N=C\c1c[nH]c2ccc(OC)cc12,301.394,2.81457,5.3,0.72427587
CO[C@@]1(NC(=O)[C@H](C(=O)O)c2ccsc2)C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]21,414.461,0.5221,0.11,-0.958607315
NC(=O)N1C(=O)C(=C(O)c2cccs2)c2cc(Cl)ccc21,320.757,3.2531,0.11,-0.958607315
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,656.662,2.7529,0.41,-0.387216143
COc1cc2nc(N3CCN(C(=O)[C@@H]4CCCO4)CC3)nc(N)c2cc1OC,387.44,1.0568,0.98,-0.008773924
CC(C)(C)NC[C@H](O)c1cc(O)cc(O)c1,225.288,1.5193,1.5,0.176091259
C[C@H](CC(c1ccccc1)c1ccccc1)NC(C)(C)C,281.443,4.9852,5.1,0.707570176
COc1ccccc1Oc1c(NS(=O)(=O)C2C=CC(C(C)C)=CN2)nc(-c2ccnc(-c3nnn[nH]3)c2)nc1OCCO,607.653,2.6578,0.28,-0.552841969
O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,258.233,0.0878,0.95,-0.022276395
CCC[C@@H](C)C1(CC)C(=O)NC(=S)NC1=O,242.344,1.3499,1.2,0.079181246
Cc1ccsc1C(=CCCN1CCC[C@H](C(=O)O)C1)c1sccc1C,375.559,5.04484,1.1,0.041392685
CN1c2ccccc2[C@H](NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O,436.961,4.1926,0.3,-0.522878745
CC1(C)S[C@@H]2[C@@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O,384.435,0.548,0.16,-0.795880017
CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@@H]3[C@@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@]3(O)C(O)=C1C2=O,585.658,0.5132,12,1.079181246
Cc1cccc(C)c1NC(=O)[C@H](C)N,192.262,1.58914,1.8,0.255272505
Cc1ccccc1OC[C@H](O)CNCCOc1ccc(C(N)=O)cc1,344.411,1.50222,4,0.602059991
CCCCNC(=O)N=S(=O)(O)c1ccc(C)cc1,270.354,2.80462,0.12,-0.920818754
Cc1cccc(N2C[C@H](CO)OC2=O)c1,207.229,1.31252,1.5,0.176091259
Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCC[C@@H](O)c3cc(Cl)ccc32)c(C)c1,448.95,5.68314,0.5,-0.301029996
C[C@@H]1C(S[C@H]2C[C@@H](C(=O)N3CC[C@H](NC(=O)CNC(=N)N)C3)N(C)C2)=C(C(=O)O)N2C(=O)[C@H]([C@@H](C)O)[C@@H]12,537.643,-1.85383,0.23,-0.638272164
